,Active,Active_scale,Confirmed,Country_Region,Date,Deaths,FIPS,Hospitalization_Rate,ISO3,Incident_Rate,Last_Update,Lat,Long_,Mortality_Rate,People_Hospitalized,People_Tested,Province_State,Recovered,Testing_Rate,UID,Active_per1000
11,122520.0,122.52,21019,US,2020-04-14,499,12.0,2.302896300571456,USA,579.3871934514303,2020-04-14 00:42:00,27.7663,-81.6868,0.405628398865216,2833.0,196207.0,FL,,924.083459185368,84000012.0,122.52
12,12850.0,12.85,13315,US,2020-04-13,465,13.0,19.44423582425836,USA,131.31949811985785,2020-04-13 23:07:54,33.0406,-83.6431,3.492301915133308,2589.0,57021.0,GA,,562.3709427181686,84000013.0,12.85
15,495.0,0.495,504,US,2020-04-13,9,15.0,8.730158730158731,USA,35.59860035344325,2020-04-13 23:07:54,21.0943,-157.4983,1.7857142857142858,44.0,18844.0,HI,310.0,1330.9921132148504,84000015.0,0.495
16,1399.0,1.399,1426,US,2020-04-13,27,16.0,9.256661991584851,USA,88.54409539415472,2020-04-13 23:07:54,44.2405,-114.4788,1.893408134642356,132.0,14881.0,ID,,924.0004793551308,84000016.0,1.399
17,21227.0,21.227,22025,US,2020-04-13,798,17.0,16.708286038592508,USA,187.6759648568341,2020-04-13 23:07:54,40.3495,-88.9861,3.623155505107832,3680.0,105768.0,IL,,901.2536413610727,84000017.0,21.227
18,8009.0,8.009,8359,US,2020-04-13,350,18.0,,USA,127.7354471902022,2020-04-13 23:07:54,39.8494,-86.2583,4.187103720540734,,44539.0,IN,,680.6088147391332,84000018.0,8.009
19,1669.0,1.669,1710,US,2020-04-13,41,19.0,8.304093567251464,USA,65.249418765046,2020-04-13 23:07:54,42.0115,-93.2105,2.3976608187134505,142.0,18696.0,IA,741.0,713.3936451645029,84000019.0,1.669
20,1328.0,1.328,1390,US,2020-04-13,62,20.0,22.230215827338128,USA,57.00253599771662,2020-04-13 23:07:54,38.5266,-96.7265,4.460431654676259,309.0,13864.0,KS,,568.549035303844,84000020.0,1.328
21,1905.0,1.905,2018,US,2020-04-13,113,21.0,33.052527254707634,USA,58.948915710937655,2020-04-13 23:07:54,37.6681,-84.6701,5.599603567888999,667.0,25866.0,KY,607.0,755.5860524177965,84000021.0,1.905
22,20132.0,20.132,21016,US,2020-04-13,884,22.0,10.154168252759805,USA,457.1412661351334,2020-04-13 23:07:54,31.1695,-91.8678,4.206318995051388,2134.0,108091.0,LA,,2351.20177949242,84000022.0,20.132
23,679.0,0.679,698,US,2020-04-13,19,23.0,17.76504297994269,USA,59.45455133960132,2020-04-13 23:07:54,44.6939,-69.3819,2.722063037249284,124.0,12306.0,ME,273.0,1048.2058865116533,84000023.0,0.679
24,8674.0,8.674,8936,US,2020-04-13,262,24.0,22.10161145926589,USA,150.3532949093396,2020-04-13 23:07:54,39.0639,-76.8021,2.9319606087735006,1975.0,51751.0,MD,603.0,870.7400811160737,84000024.0,8.674
25,26023.0,26.023,26867,US,2020-04-13,844,25.0,8.709569360181638,USA,391.4319997808785,2020-04-13 23:07:54,42.2302,-71.5301,3.141400230766368,2340.0,122049.0,MA,,1778.1622116818567,84000025.0,26.023
26,24033.0,24.033,25635,US,2020-04-13,1602,26.0,15.549054027696506,USA,321.7543197729608,2020-04-13 23:07:54,43.3266,-84.5361,6.249268578115858,3986.0,82644.0,MI,447.0,1037.2952605155676,84000026.0,24.033
27,1551.0,1.551,1621,US,2020-04-13,70,27.0,22.27020357803825,USA,32.771003666066505,2020-04-13 23:07:54,45.6945,-93.9002,4.318322023442319,361.0,38427.0,MN,842.0,776.8608006637493,84000027.0,1.551
28,2844.0,2.844,2942,US,2020-04-13,98,28.0,18.66077498300476,USA,101.61625804865007,2020-04-13 23:07:54,32.7416,-89.6787,3.3310673011556764,549.0,30984.0,MS,,1070.1829161724588,84000028.0,2.844
29,4392.0,4.392,4515,US,2020-04-13,123,29.0,21.882613510520486,USA,77.05493479258142,2020-04-13 23:07:54,38.4561,-92.2884,2.724252491694352,988.0,45428.0,MO,,775.2938156716256,84000029.0,4.392
30,387.0,0.387,394,US,2020-04-13,7,30.0,11.928934010152284,USA,45.497218780420496,2020-04-13 23:07:54,46.9219,-110.4544,1.7766497461928934,47.0,9098.0,MT,171.0,1050.5931382341766,84000030.0,0.387
